#K-Path(1/A)         Spin-Up(eV)   Spin-Down(eV)
# NKPTS & NBANDS: 150 160
# Band-Index    1
   1.07494    -15.414860    -15.487855
   1.08806    -15.431422    -15.480579
   1.10117    -15.456371    -15.478857
   1.11429    -15.482632    -15.491789
   1.12741    -15.508722    -15.514186
   1.14053    -15.534238    -15.538447
   1.15365    -15.559041    -15.562683
   1.16677    -15.583069    -15.586403
   1.17989    -15.606288    -15.609434
   1.19301    -15.628677    -15.631698
   1.20613    -15.650216    -15.653149
   1.21925    -15.670904    -15.673773
   1.23237    -15.690739    -15.693560
   1.24549    -15.709709    -15.712492
   1.25861    -15.727809    -15.730563
   1.27173    -15.745037    -15.747768
   1.28484    -15.761393    -15.764105
   1.29796    -15.776868    -15.779566
   1.31108    -15.791462    -15.794148
   1.32420    -15.805178    -15.807856
   1.33732    -15.818007    -15.820678
   1.35044    -15.829956    -15.832623
   1.36356    -15.841019    -15.843683
   1.37668    -15.851195    -15.853858
   1.38980    -15.860484    -15.863148
   1.40292    -15.868889    -15.871554
   1.41604    -15.876407    -15.879073
   1.42916    -15.883040    -15.885708
   1.44228    -15.888787    -15.891458
   1.45539    -15.893651    -15.896325
   1.46851    -15.897625    -15.900301
   1.48163    -15.900720    -15.903398
   1.49475    -15.902929    -15.905608
   1.50787    -15.904250    -15.906929
   1.52099    -15.904245    -15.906660
 
 
# Band-Index    6
   1.52099    -15.902397    -15.904742
   1.50787    -15.902660    -15.905168
   1.49475    -15.901319    -15.903824
   1.48163    -15.899082    -15.901583
